Region,Technology,Material,Scenario,Unit,Density,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
EU,Wind,Concrete,LDS,t/yr,4078128.96,4204083.372,4325998.907,4446109.668,4564414.26,4680911.284,4795599.342,4908477.037,5019542.969,5128795.743,5236233.958,5341856.219,5445661.127,5538761.859,5630140.007,5719794.651,5807724.872,5893929.752,5978408.373,6061159.816,6142183.162,6221477.493,6299041.89,6374875.435,6448977.209,6521346.293,6591981.769,6660882.718,6728048.223,6793477.363,6857169.221,6919122.878,6979337.416
EU,Wind,Concrete,MDS,t/yr,4078128.96,4642862.142,5204056.493,5761711.244,6315825.624,6866398.86,7413430.183,7956918.822,8496864.006,9033264.963,9566120.922,10095431.11,10621194.77,11143650.86,11662519.79,12177801.15,12689494.54,13197599.56,13702115.8,14203042.85,14700380.32,15194127.81,15684284.9,16170851.2,16653826.31,17133209.81,17609001.32,18081200.42,18549806.71,19014819.78,19476239.25,19934064.69,20388295.72
EU,Wind,Concrete,HDS,t/yr,4078128.96,5469071.85,6824268.978,8169966.63,9506164.807,10832863.51,12150062.73,13457762.48,14755962.76,16044663.56,17323864.88,18593566.72,19853769.1,21180341.15,22506602.3,23832552.54,25158191.87,26483520.3,27808537.83,29133244.45,30457640.16,31781724.97,33105498.87,34428961.87,35752113.96,37074955.15,38397485.43,39719704.8,41041613.27,42363210.83,43684497.49,45005473.24,46326138.09
EU,Wind,Steel,LDS,t/yr,1402588.248,1438245.992,1472639.294,1506453.049,1539687.825,1572344.188,1604422.707,1635923.947,1666848.478,1697196.865,1726969.676,1756167.479,1784790.84,1813871.199,1842381.988,1870323.409,1897695.664,1924498.955,1950733.485,1976399.456,2001497.07,2026026.53,2049988.038,2073381.796,2096208.007,2118466.873,2140158.596,2161283.379,2181841.424,2201832.933,2221258.108,2240117.152,2258410.268
EU,Wind,Steel,MDS,t/yr,1402588.248,1599372.114,1794859.977,1989052.165,2181949.005,2373550.825,2563857.954,2752870.719,2940589.448,3127014.47,3312146.112,3495984.703,3678530.57,3859881.939,4039950.043,4218735.118,4396237.398,4572457.12,4747394.519,4921049.83,5093423.289,5264515.131,5434325.592,5602854.906,5770103.311,5936071.04,6100758.33,6264165.415,6426292.533,6587139.917,6746707.803,6904996.427,7062006.024
EU,Wind,Steel,HDS,t/yr,1402588.248,1874869.198,2338447.22,2801987.387,3265489.698,3728954.152,4192380.75,4655769.492,5119120.378,5582433.408,6045708.581,6508945.898,6972145.36,7434868.903,7897542.248,8360165.395,8822738.343,9285261.094,9747733.645,10210156,10672528.15,11134850.11,11597121.87,12059343.43,12521514.79,12983635.96,13445706.92,13907727.69,14369698.26,14831618.63,15293488.8,15755308.77,16217078.55
EU,Wind,Plastic,LDS,t/yr,55087.3,56512.53525,57889.16575,59243.8715,60576.6525,61887.50875,63176.44025,64443.447,65688.529,66911.68625,68112.91875,69292.2265,70449.6095,71585.06775,72698.60125,73790.21,74859.894,75907.65325,76933.48775,77937.3975,78919.3825,79879.44275,80817.57825,81733.789,82628.075,83500.43625,84350.87275,85179.3845,85985.9715,86770.63375,87533.37125,88274.184,88993.072
EU,Wind,Plastic,MDS,t/yr,55087.3,62827.64813,70518.38813,78159.52,85751.04375,93292.95938,100785.2669,108227.9663,115621.0575,122964.5406,130258.4156,137502.6825,144697.3413,151842.3919,158937.8344,165983.6688,172979.895,179926.5131,186823.5231,193670.925,200468.7188,207216.9044,213915.4819,220564.4513,227163.8125,233713.5656,240213.7106,246664.2475,253065.1763,259416.4969,265718.2094,271970.3138,278172.81
EU,Wind,Plastic,HDS,t/yr,55087.3,73593.56,91760.34,109927.12,128093.9,146260.68,164427.46,182594.24,200761.02,218927.8,237094.58,255261.36,273428.14,291594.92,309761.7,327928.48,346095.26,364262.04,382428.82,400595.6,418762.38,436929.16,455095.94,473262.72,491429.5,509596.28,527763.06,545929.84,564096.62,582263.4,600430.18,618596.96,636763.74
EU,Wind,Glass,LDS,t/yr,96533.0295,98974.60143,101336.2976,103664.1896,105958.2015,108218.2575,110444.2817,112636.1983,114793.9313,116917.405,119006.5433,121061.2706,123081.5109,125121.773,127125.326,129092.1213,131022.1105,132915.245,134771.476,136590.7552,138373.0338,140118.2633,141826.3951,143497.3806,145131.1713,146727.7186,148286.9738,149808.8885,151293.4139,152740.5016,154150.1029,155522.1693,156856.6522
